District,District_UID,City_UID
Quận Ba Đình,1,1
Quận Hoàn Kiếm,2,1
Quận Tây Hồ,3,1
Quận Long Biên,4,1
Quận Cầu Giấy,5,1
Quận Đống Đa,6,1
Quận Hai Bà Trưng,7,1
Quận Hoàng Mai,8,1
Quận Thanh Xuân,9,1
Huyện Sóc Sơn,10,1
Huyện Đông Anh,11,1
Huyện Gia Lâm,12,1
Quận Nam Từ Liêm,13,1
Huyện Thanh Trì,14,1
Quận Bắc Từ Liêm,15,1
Huyện Mê Linh,16,1
Quận Hà Đông,17,1
Thị xã Sơn Tây,18,1
Huyện Ba Vì,19,1
Huyện Phúc Thọ,20,1
Huyện Đan Phượng,21,1
Huyện Hoài Đức,22,1
Huyện Quốc Oai,23,1
Huyện Thạch Thất,24,1
Huyện Chương Mỹ,25,1
Huyện Thanh Oai,26,1
Huyện Thường Tín,27,1
Huyện Phú Xuyên,28,1
Huyện Ứng Hòa,29,1
Huyện Mỹ Đức,30,1
Thành phố Hà Giang,31,2
Huyện Đồng Văn,32,2
Huyện Mèo Vạc,33,2
Huyện Yên Minh,34,2
Huyện Quản Bạ,35,2
Huyện Vị Xuyên,36,2
Huyện Bắc Mê,37,2
Huyện Hoàng Su Phì,38,2
Huyện Xín Mần,39,2
Huyện Bắc Quang,40,2
Huyện Quang Bình,41,2
Thành phố Cao Bằng,42,3
Huyện Bảo Lâm,43,3
Huyện Bảo Lạc,44,3
Huyện Hà Quảng,45,3
Huyện Trùng Khánh,46,3
Huyện Hạ Lang,47,3
Huyện Quảng Hòa,48,3
Huyện Hoà An,49,3
Huyện Nguyên Bình,50,3
Huyện Thạch An,51,3
Thành Phố Bắc Kạn,52,4
Huyện Pác Nặm,53,4
Huyện Ba Bể,54,4
Huyện Ngân Sơn,55,4
Huyện Bạch Thông,56,4
Huyện Chợ Đồn,57,4
Huyện Chợ Mới,58,4
Huyện Na Rì,59,4
Thành phố Tuyên Quang,60,5
Huyện Lâm Bình,61,5
Huyện Na Hang,62,5
Huyện Chiêm Hóa,63,5
Huyện Hàm Yên,64,5
Huyện Yên Sơn,65,5
Huyện Sơn Dương,66,5
Thành phố Lào Cai,67,6
Huyện Bát Xát,68,6
Huyện Mường Khương,69,6
Huyện Si Ma Cai,70,6
Huyện Bắc Hà,71,6
Huyện Bảo Thắng,72,6
Huyện Bảo Yên,73,6
Thị xã Sa Pa,74,6
Huyện Văn Bàn,75,6
Thành phố Điện Biên Phủ,76,7
Thị Xã Mường Lay,77,7
Huyện Mường Nhé,78,7
Huyện Mường Chà,79,7
Huyện Tủa Chùa,80,7
Huyện Tuần Giáo,81,7
Huyện Điện Biên,82,7
Huyện Điện Biên Đông,83,7
Huyện Mường Ảng,84,7
Huyện Nậm Pồ,85,7
Thành phố Lai Châu,86,8
Huyện Tam Đường,87,8
Huyện Mường Tè,88,8
Huyện Sìn Hồ,89,8
Huyện Phong Thổ,90,8
Huyện Than Uyên,91,8
Huyện Tân Uyên,92,8
Huyện Nậm Nhùn,93,8
Thành phố Sơn La,94,9
Huyện Quỳnh Nhai,95,9
Huyện Thuận Châu,96,9
Huyện Mường La,97,9
Huyện Bắc Yên,98,9
Huyện Phù Yên,99,9
Huyện Mộc Châu,100,9
Huyện Yên Châu,101,9
Huyện Mai Sơn,102,9
Huyện Sông Mã,103,9
Huyện Sốp Cộp,104,9
Huyện Vân Hồ,105,9
Thành phố Yên Bái,106,10
Thị xã Nghĩa Lộ,107,10
Huyện Lục Yên,108,10
Huyện Văn Yên,109,10
Huyện Mù Căng Chải,110,10
Huyện Trấn Yên,111,10
Huyện Trạm Tấu,112,10
Huyện Văn Chấn,113,10
Huyện Yên Bình,114,10
Thành phố Hòa Bình,115,11
Huyện Đà Bắc,116,11
Huyện Lương Sơn,117,11
Huyện Kim Bôi,118,11
Huyện Cao Phong,119,11
Huyện Tân Lạc,120,11
Huyện Mai Châu,121,11
Huyện Lạc Sơn,122,11
Huyện Yên Thủy,123,11
Huyện Lạc Thủy,124,11
Thành phố Thái Nguyên,125,12
Thành phố Sông Công,126,12
Huyện Định Hóa,127,12
Huyện Phú Lương,128,12
Huyện Đồng Hỷ,129,12
Huyện Võ Nhai,130,12
Huyện Đại Từ,131,12
Thị xã Phổ Yên,132,12
Huyện Phú Bình,133,12
Thành phố Lạng Sơn,134,13
Huyện Tràng Định,135,13
Huyện Bình Gia,136,13
Huyện Văn Lãng,137,13
Huyện Cao Lộc,138,13
Huyện Văn Quan,139,13
Huyện Bắc Sơn,140,13
Huyện Hữu Lũng,141,13
Huyện Chi Lăng,142,13
Huyện Lộc Bình,143,13
Huyện Đình Lập,144,13
Thành phố Hạ Long,145,14
Thành phố Móng Cái,146,14
Thành phố Cẩm Phả,147,14
Thành phố Uông Bí,148,14
Huyện Bình Liêu,149,14
Huyện Tiên Yên,150,14
Huyện Đầm Hà,151,14
Huyện Hải Hà,152,14
Huyện Ba Chẽ,153,14
Huyện Vân Đồn,154,14
Thị xã Đông Triều,155,14
Thị xã Quảng Yên,156,14
Huyện Cô Tô,157,14
Thành phố Bắc Giang,158,15
Huyện Yên Thế,159,15
Huyện Tân Yên,160,15
Huyện Lạng Giang,161,15
Huyện Lục Nam,162,15
Huyện Lục Ngạn,163,15
Huyện Sơn Động,164,15
Huyện Yên Dũng,165,15
Huyện Việt Yên,166,15
Huyện Hiệp Hòa,167,15
Thành phố Việt Trì,168,16
Thị xã Phú Thọ,169,16
