Ward,Ward_UID,District_UID
Phường Phúc Xá,1,1
Phường Trúc Bạch,2,1
Phường Vĩnh Phúc,3,1
Phường Cống Vị,4,1
Phường Liễu Giai,5,1
Phường Nguyễn Trung Trực,6,1
Phường Quán Thánh,7,1
Phường Ngọc Hà,8,1
Phường Điện Biên,9,1
Phường Đội Cấn,10,1
Phường Ngọc Khánh,11,1
Phường Kim Mã,12,1
Phường Giảng Võ,13,1
Phường Thành Công,14,1
Phường Phúc Tân,15,2
Phường Đồng Xuân,16,2
Phường Hàng Mã,17,2
Phường Hàng Buồm,18,2
Phường Hàng Đào,19,2
Phường Hàng Bồ,20,2
Phường Cửa Đông,21,2
Phường Lý Thái Tổ,22,2
Phường Hàng Bạc,23,2
Phường Hàng Gai,24,2
Phường Chương Dương,25,2
Phường Hàng Trống,26,2
Phường Cửa Nam,27,2
Phường Hàng Bông,28,2
Phường Tràng Tiền,29,2
Phường Trần Hưng Đạo,30,2
Phường Phan Chu Trinh,31,2
Phường Hàng Bài,32,2
Phường Phú Thượng,33,3
Phường Nhật Tân,34,3
Phường Tứ Liên,35,3
Phường Quảng An,36,3
Phường Xuân La,37,3
Phường Yên Phụ,38,3
Phường Bưởi,39,3
Phường Thụy Khuê,40,3
Phường Thượng Thanh,41,4
Phường Ngọc Thụy,42,4
Phường Giang Biên,43,4
Phường Đức Giang,44,4
Phường Việt Hưng,45,4
Phường Gia Thụy,46,4
Phường Ngọc Lâm,47,4
Phường Phúc Lợi,48,4
Phường Bồ Đề,49,4
Phường Sài Đồng,50,4
Phường Long Biên,51,4
Phường Thạch Bàn,52,4
Phường Phúc Đồng,53,4
Phường Cự Khối,54,4
Phường Nghĩa Đô,55,5
Phường Nghĩa Tân,56,5
Phường Mai Dịch,57,5
Phường Dịch Vọng,58,5
Phường Dịch Vọng Hậu,59,5
Phường Quan Hoa,60,5
Phường Yên Hoà,61,5
Phường Trung Hoà,62,5
Phường Cát Linh,63,6
Phường Văn Miếu,64,6
Phường Quốc Tử Giám,65,6
Phường Láng Thượng,66,6
Phường Ô Chợ Dừa,67,6
Phường Văn Chương,68,6
Phường Hàng Bột,69,6
Phường Láng Hạ,70,6
Phường Khâm Thiên,71,6
Phường Thổ Quan,72,6
Phường Nam Đồng,73,6
Phường Trung Phụng,74,6
Phường Quang Trung,75,6
Phường Trung Liệt,76,6
Phường Phương Liên,77,6
Phường Thịnh Quang,78,6
Phường Trung Tự,79,6
Phường Kim Liên,80,6
Phường Phương Mai,81,6
Phường Ngã Tư Sở,82,6
Phường Khương Thượng,83,6
Phường Nguyễn Du,84,7
Phường Bạch Đằng,85,7
Phường Phạm Đình Hổ,86,7
Phường Lê Đại Hành,87,7
Phường Đồng Nhân,88,7
Phường Phố Huế,89,7
Phường Đống Mác,90,7
Phường Thanh Lương,91,7
Phường Thanh Nhàn,92,7
Phường Cầu Dền,93,7
Phường Bách Khoa,94,7
Phường Đồng Tâm,95,7
Phường Vĩnh Tuy,96,7
Phường Bạch Mai,97,7
Phường Quỳnh Mai,98,7
Phường Quỳnh Lôi,99,7
Phường Minh Khai,100,7
Phường Trương Định,101,7
Phường Thanh Trì,102,8
Phường Vĩnh Hưng,103,8
Phường Định Công,104,8
Phường Mai Động,105,8
Phường Tương Mai,106,8
Phường Đại Kim,107,8
Phường Tân Mai,108,8
Phường Hoàng Văn Thụ,109,8
Phường Giáp Bát,110,8
Phường Lĩnh Nam,111,8
Phường Thịnh Liệt,112,8
Phường Trần Phú,113,8
Phường Hoàng Liệt,114,8
Phường Yên Sở,115,8
Phường Nhân Chính,116,9
Phường Thượng Đình,117,9
Phường Khương Trung,118,9
Phường Khương Mai,119,9
Phường Thanh Xuân Trung,120,9
Phường Phương Liệt,121,9
Phường Hạ Đình,122,9
Phường Khương Đình,123,9
Phường Thanh Xuân Bắc,124,9
Phường Thanh Xuân Nam,125,9
Phường Kim Giang,126,9
Thị trấn Sóc Sơn,127,10
Xã Bắc Sơn,128,10
Xã Minh Trí,129,10
Xã Hồng Kỳ,130,10
Xã Nam Sơn,131,10
Xã Trung Giã,132,10
Xã Tân Hưng,133,10
Xã Minh Phú,134,10
Xã Phù Linh,135,10
Xã Bắc Phú,136,10
Xã Tân Minh,137,10
Xã Quang Tiến,138,10
Xã Hiền Ninh,139,10
Xã Tân Dân,140,10
Xã Tiên Dược,141,10
Xã Việt Long,142,10
Xã Xuân Giang,143,10
Xã Mai Đình,144,10
Xã Đức Hoà,145,10
Xã Thanh Xuân,146,10
Xã Đông Xuân,147,10
Xã Kim Lũ,148,10
Xã Phú Cường,149,10
Xã Phú Minh,150,10
Xã Phù Lỗ,151,10
Xã Xuân Thu,152,10
Thị trấn Đông Anh,153,11
Xã Xuân Nộn,154,11
Xã Thuỵ Lâm,155,11
Xã Bắc Hồng,156,11
Xã Nguyên Khê,157,11
Xã Nam Hồng,158,11
Xã Tiên Dương,159,11
Xã Vân Hà,160,11
Xã Uy Nỗ,161,11
Xã Vân Nội,162,11
Xã Liên Hà,163,11
Xã Việt Hùng,164,11
Xã Kim Nỗ,165,11
Xã Kim Chung,166,11
Xã Dục Tú,167,11
Xã Đại Mạch,168,11
Xã Vĩnh Ngọc,169,11
Xã Cổ Loa,170,11
Xã Hải Bối,171,11
Xã Xuân Canh,172,11
Xã Võng La,173,11
Xã Tàm Xá,174,11
Xã Mai Lâm,175,11
Xã Đông Hội,176,11
Thị trấn Yên Viên,177,12
Xã Yên Thường,178,12
Xã Yên Viên,179,12
Xã Ninh Hiệp,180,12
Xã Đình Xuyên,181,12
Xã Dương Hà,182,12
Xã Phù Đổng,183,12
Xã Trung Mầu,184,12
Xã Lệ Chi,185,12
Xã Cổ Bi,186,12
Xã Đặng Xá,187,12
Xã Phú Thị,188,12
Xã Kim Sơn,189,12
Thị trấn Trâu Quỳ,190,12
Xã Dương Quang,191,12
Xã Dương Xá,192,12
Xã Đông Dư,193,12
Xã Đa Tốn,194,12
Xã Kiêu Kỵ,195,12
Xã Bát Tràng,196,12
Xã Kim Lan,197,12
Xã Văn Đức,198,12
Phường Cầu Diễn,199,13
Phường Xuân Phương,200,13
Phường Phương Canh,201,13
Phường Mỹ Đình 1,202,13
Phường Mỹ Đình 2,203,13
Phường Tây Mỗ,204,13
Phường Mễ Trì,205,13
Phường Phú Đô,206,13
Phường Đại Mỗ,207,13
Phường Trung Văn,208,13
Thị trấn Văn Điển,209,14
Xã Tân Triều,210,14
Xã Thanh Liệt,211,14
Xã Tả Thanh Oai,212,14
Xã Hữu Hoà,213,14
Xã Tam Hiệp,214,14
Xã Tứ Hiệp,215,14
Xã Yên Mỹ,216,14
Xã Vĩnh Quỳnh,217,14
Xã Ngũ Hiệp,218,14
Xã Duyên Hà,219,14
Xã Ngọc Hồi,220,14
Xã Vạn Phúc,221,14
Xã Đại áng,222,14
Xã Liên Ninh,223,14
Xã Đông Mỹ,224,14
Phường Thượng Cát,225,15
Phường Liên Mạc,226,15
Phường Đông Ngạc,227,15
Phường Đức Thắng,228,15
Phường Thụy Phương,229,15
Phường Tây Tựu,230,15
Phường Xuân Đỉnh,231,15
Phường Xuân Tảo,232,15
Phường Minh Khai,233,15
Phường Cổ Nhuế 1,234,15
Phường Cổ Nhuế 2,235,15
Phường Phú Diễn,236,15
Phường Phúc Diễn,237,15
Thị trấn Chi Đông,238,16
Xã Đại Thịnh,239,16
Xã Kim Hoa,240,16
Xã Thạch Đà,241,16
Xã Tiến Thắng,242,16
Xã Tự Lập,243,16
Thị trấn Quang Minh,244,16
Xã Thanh Lâm,245,16
Xã Tam Đồng,246,16
Xã Liên Mạc,247,16
