Title,Content,Pricetag,Image,City_name,ID_VehicleInfo
Yamaha Latte 2020,"Latte 2020 k&yacute; ngay chủ 
Odo chuẩn gần 10k km
Xe keng b&aacute;nh trc b&aacute;nh sau chưa mở
Phụ kiện theo xe 
M&aacute;y bao &ecirc;m 
Gi&aacute; alo e 0909025886 
Đc 751 lũy b&aacute;n B&iacute;ch quận T&acirc;n ph&uacute;",35000000,https://cdn.okxe.vn/products/913/1113913/1113913_383554_review-0_20221113111226_ALfLgRQS_m_400x400.jpg,Tp. Hồ Chí Minh,1
SYM Angel 110 2005,"Cầm Đồ Ho&agrave;ng Thắng Thanh L&yacute; Xe : SYM ANGEL
- Xe gi&aacute; rẻ . Xe c&ograve;n cứng, biển số dễ thương dễ nhớ . Để lại cho anh chị em về chở h&agrave;ng hoặc c&aacute;ch bạn sinh vi&ecirc;n về sửa sang đi học đi l&agrave;m.
- Giấy tờ đầy đủ, hợp ph&aacute;p, viết giấy mua b&aacute;n.
- Gi&aacute; c&ocirc;ng khai : 4tr5 ( C&oacute; thương lượng )
- Địa chỉ : 231 Nguyễn Văn Nghi, P7, G&ograve; Vấp
Nhấc m&aacute;y gọi : 0933.936.345 ( Zalo )
Cảm ơn ❤️",4500000,https://cdn.okxe.vn/products/944/1102944/1102944_1502760_review-0_20221110102926_a8trzXiE_m_400x400.jpg,Tp. Hồ Chí Minh,2
Harley Davidson Forty-Eight Special 2019,"XE MOTO PH&Acirc;N KHỐI LỚN CỰC HIẾM - Harley Davidson Forty Eight m&agrave;u trắng năm 2019, tại B&igrave;nh Thạnh, TP HCM

&bull; Xe gần như mới, bảo dưỡng to&agrave;n bộ tại h&atilde;ng, xe zin nguy&ecirc;n chiếc, si&ecirc;u lướt;
&bull; Kh&iacute; thải Vance &amp; Hines;
&bull; Bộ lọc kh&iacute; Sreming eagle;
&bull; Monkey handlebar;
&bull; Direct link + stage 1;
&bull; Ắc quy mới;
&bull; Y&ecirc;n sau v&agrave; g&aacute;c ch&acirc;n sau;
&bull; &Aacute;o tr&ugrave;m xe;
&bull; Biển số S&agrave;i G&ograve;n.

Một chiếc xe kh&ocirc;ng cần b&agrave;n c&atilde;i về độ &ldquo;HOT&rdquo;, thiết kế hầm hố, động cơ mạnh mẽ, tạo cảm x&uacute;c phấn kh&iacute;ch tr&ecirc;n từng c&uacute; vặn ga.

Anh em n&agrave;o muốn c&oacute; một chiếc xe lướt si&ecirc;u ngon để chơi th&igrave; đ&acirc;y l&agrave; một lựa chọn tuyệt vời.

Xe cực hiếm, n&ecirc;n anh/em nhanh tay li&ecirc;n hệ inbox ch&iacute;nh chủ hoặc li&ecirc;n hệ.",435000000,https://cdn.okxe.vn/products/376/1069376/1069376_1515268_6 (1)_20221031035241_6eLdHVcH_m_400x400.jpg,Tp. Hồ Chí Minh,3
Harley Davidson Street 750 2015,"‼️ MOTOR HARLEY DAVIDSON STREET 750 CH&Iacute;NH CHỦ SANG T&Ecirc;N V&Ocirc; TƯ GI&Aacute; CỰC SHOCK CHO AE ‼️

=&gt; ODO CHUẨN CHỈ 15.000 TH&Ocirc;I, XE CHỦ YẾU DỰNG &Iacute;T ĐI, D&Agrave;N &Aacute;O C&Ograve;N KEO ZIN THEO XE, M&Aacute;Y M&Oacute;C CHUẨN CHỈ

=&gt; ĐIỆN Đ&Oacute;M FULL, Đ&Egrave;N LED ĐỘ TH&Ecirc;M V&Agrave; P&Ocirc; ĐỘ CH&Iacute;NH H&Atilde;NG, XE NỔ CỰC CHẤT

=&gt; EM N&Agrave;Y ĐI PHỐ L&Agrave; M&Aacute;T NHẤT RỒI AE, MỨC ĐỘ HAO XĂNG THEO CẢM NHẬN Đ&Atilde; CHẠY 200KM KHỎNG 21KM/1 L&Iacute;T KH&Aacute; L&Agrave; ỔN

🔇  D&Agrave;N NGO&Agrave;I CỰC HẦM HỐ TH&Iacute;CH VỚI AE CHIỀU CAO TỪ 1M60 ĐỔ L&Ecirc;N.

🔇 GI&Aacute; B&Aacute;N CHỈ C&Oacute; ‼️‼️ 178 TRIỆU ‼️‼️

🔇 XE GIẤY TỜ CHUẨN MUA B&Aacute;N TẠI CỦA H&Agrave;NG, VIẾT GIẤY MUA B&Aacute;N CỦA CỬA H&Agrave;NG ‼‼ BAO TRANH CHẤP TRỌN ĐỜI ‼️‼️

CH&Iacute;NH CHỦ K&Yacute; B&Aacute;N CHO ANH EM SANG T&Ecirc;N - C&Oacute; HỖ TRỢ R&Uacute;T HỒ SƠ GỐC CHO ANH EM LU&Ocirc;N.

ĐỊA CHỈ : TH&Aacute;I THUẬN MOTOR - 90 T&Acirc;N CH&Aacute;NH HIỆP 36 PHƯỜNG T&Acirc;N CH&Aacute;NH HIỆP QUẬN 12 

Tiktok :https://vt.tiktok.com/ZSdWAj5J7/

YOUTUBE: https://youtube.com/channel/UCEIbxNK0ymZCcpIwwDX02og",178000000,https://cdn.okxe.vn/products/79/1012079/1012079-1257667-review-0-20221015011016-tlwx8wvs_m_400x400.jpg,Tp. Hồ Chí Minh,4
Suzuki GZ 150A 2017,"&quot;suzuki Gz150-A 150cc m&agrave;u đen đời 2017 h&agrave;ng 95%
- Xe m&aacute;y m&oacute;c nguy&ecirc;n bản xe c&ograve;n  mới
- Giấy tờ ph&aacute;p l&yacute; đầy đủ               
BKS: 60F261723
ODO: 23000 km

XE M&Aacute;Y PHI TIẾN 
DĨ AN-B&Igrave;NH DƯƠNG


❤️ Sẵn s&agrave;ng tư vấn nhiệt t&igrave;nh cho c&aacute;c bạn quan t&acirc;m
✅ Hỗ trợ trả g&oacute;p cho tất cả mọi người với l&atilde;i suất thấp
✅ Hỗ trợ tất cả mọi thủ tục: Sang t&ecirc;n, R&uacute;t hồ sơ, Bấm biển
✅ Bảo h&agrave;nh m&aacute;y 3 th&aacute;ng hoặc 6 th&aacute;ng (t&ugrave;y loại)
✅ Bao test, đổi  xe trong v&ograve;ng 7 ng&agrave;y ho&agrave;n to&agrave;n Miễn Ph&iacute;!&quot;",47900000,https://cdn.okxe.vn/products/253/1190253/1190253-69-z3926080214617-45526d754ce839b15be1240b55b4b58b-20221204123043-dobpqnwj_m_400x400.jpg,Tỉnh Bình Dương,5
Honda SH 150 2008,"&quot;HONDA SH 150 m&agrave;u ĐEN đời 2008 h&agrave;ng 95%
-Xe đẹp nilong d&aacute;n k&iacute;n xe đẹp k tỳ vết
-Xe m&aacute;y zin bao t&eacute;t thợ thoả m&aacute;i 
BKS: 29C1-76877
ODO: 51000 km

XE M&Aacute;Y VŨ NGUYỄN
HO&Agrave;NG MAI-H&Agrave; NỘI


❤️ Sẵn s&agrave;ng tư vấn nhiệt t&igrave;nh cho kh&aacute;ch h&agrave;ng c&oacute; nhu cầu mua xe
✅ Hỗ trợ trả g&oacute;p cho tất cả mọi người với l&atilde;i suất thấp
✅ Hỗ trợ tất cả mọi thủ tục: Sang t&ecirc;n, R&uacute;t hồ sơ, Bấm biển
✅ Bảo h&agrave;nh m&aacute;y 3 th&aacute;ng hoặc 6 th&aacute;ng (t&ugrave;y loại)&quot;",40000000,https://cdn.okxe.vn/products/200/1175200/1175200-69-z3921297520956-779f71c4fe2c2b25807a51f95e0e6207-20221130113652-72aia5jj_m_400x400.jpg,Tp. Hà Nội,6
Honda SH 150 2021,"&quot;HONDA SH 150 m&agrave;u ĐEN đời 2021 h&agrave;ng 95%
Cam kết chất lượng m&aacute;y 
Cam kết giấy tờ giầy đủ 
BKS: 89B2- 020.24
ODO: 1000 km

XE M&Aacute;Y TUẤN ANH-L&Aacute;NG
ĐỐNG ĐA-H&Agrave; NỘI


❤️ Sẵn s&agrave;ng tư vấn nhiệt t&igrave;nh cho kh&aacute;ch h&agrave;ng c&oacute; nhu cầu mua xe
✅ Hỗ trợ trả g&oacute;p cho tất cả mọi người với l&atilde;i suất thấp
✅ Hỗ trợ tất cả mọi thủ tục: Sang t&ecirc;n, R&uacute;t hồ sơ, Bấm biển
✅ Bảo h&agrave;nh m&aacute;y 3 th&aacute;ng hoặc 6 th&aacute;ng (t&ugrave;y loại)&quot;",85900000,https://cdn.okxe.vn/products/905/1193905/1193905-69-nh-chup-man-hinh-2022-12-02-luc-101124-20221205123109-phwxrf2b_m_400x400.png,Tp. Hà Nội,7
Honda Air Blade 125 FI 2014,"&quot;Honda Air blade 125 m&agrave;u N&acirc;u đời 2014 h&agrave;ng 95%
Đảm bảo m&aacute;y v&agrave; phụ t&ugrave;ng c&ograve;n zin nguy&ecirc;n bản
BKS: 17B3-12367
ODO: 20000 km

XE M&Aacute;Y TRUNG KI&Ecirc;N
VŨ THƯ-TH&Aacute;I B&Igrave;NH


❤️ Sẵn s&agrave;ng tư vấn nhiệt t&igrave;nh cho c&aacute;c bạn quan t&acirc;m

✅ Hỗ trợ tất cả mọi thủ tục: Sang t&ecirc;n, R&uacute;t hồ sơ, Bấm biển
✅ T&ugrave;y từng d&ograve;ng xe c&oacute; ch&iacute;nh s&aacute;ch BH ri&ecirc;ng&quot;",23000000,https://cdn.okxe.vn/products/724/1182724/1182724-69-z3913860742350-4eae60c4f936eac6ba00637ecb58db9f-20221202121532-gw9eg0o4_m_400x400.jpg,Tỉnh Thái Bình,8
Honda Wave Alpha 100 2006,"&quot;Honda wave alpha 100 m&agrave;u Xanh đời 2006 h&agrave;ng 80%
Đảm bảo m&aacute;y v&agrave; phụ t&ugrave;ng c&ograve;n zin nguy&ecirc;n bản
BKS: 16K6-9854
ODO: 50000 km

XE M&Aacute;Y ĐỨC TRUNG
TP TH&Aacute;I B&Igrave;NH-TH&Aacute;I B&Igrave;NH


❤️ Sẵn s&agrave;ng tư vấn nhiệt t&igrave;nh cho c&aacute;c bạn quan t&acirc;m

✅ Hỗ trợ tất cả mọi thủ tục: Sang t&ecirc;n, R&uacute;t hồ sơ, Bấm biển
✅ T&ugrave;y từng d&ograve;ng xe c&oacute; ch&iacute;nh s&aacute;ch BH ri&ecirc;ng&quot;",8500000,https://cdn.okxe.vn/products/746/1182746/1182746-69-z3921777670197-7e442df0f948644855eff6c4d130ed3f-20221202123031-jzjvsq08_m_400x400.jpg,Tỉnh Thái Bình,9
Honda Future 125 2012,"Honda Future 125 màu Xám đời 2012 hàng 88%
Đảm bảo máy và phụ tùng còn zin nguyên bản
BKS: 17B1-89606
ODO: 91000 km

XE MÁY HÀ PHƯƠNG
TP THÁI BÌNH-THÁI BÌNH

❤️ Sẵn sàng tư vấn nhiệt tình cho các bạn quan tâm

✅ Hỗ trợ tất cả mọi thủ tục: Sang tên, Rút hồ sơ, Bấm biển
✅ Tùy từng dòng xe có chính sách BH riêng",12000000,https://cdn.okxe.vn/products/314/1172314/1172314-69-z3914509675490-4cbea9bacaf09618b7e0c239823fb271-20221129050119-cnhiuxb0_m_400x400.jpg,Tỉnh Thái Bình,10
