infoid,Title,Content,Pricetag,Image,City_name,ID_City,Vehicle_name,Odometer,License_plate,Cubic_power,Manufacture_year,ID_VehicleBrand,ID_VehicleLineup,Condition,ID_VehicleType,ID_Color
1,Yamaha Latte 2020,"Latte 2020 k&yacute; ngay chủ 
Odo chuẩn gần 10k km
Xe keng b&aacute;nh trc b&aacute;nh sau chưa mở
Phụ kiện theo xe 
M&aacute;y bao &ecirc;m 
Gi&aacute; alo e 0909025886 
Đc 751 lũy b&aacute;n B&iacute;ch quận T&acirc;n ph&uacute;",35000000,https://cdn.okxe.vn/products/913/1113913/1113913_383554_review-0_20221113111226_ALfLgRQS_m_400x400.jpg,Tp. Hồ Chí Minh,50,Yamaha Latte,10000,,125.0,2020,40,1711,2,1,10
2,SYM Angel 110 2005,"Cầm Đồ Ho&agrave;ng Thắng Thanh L&yacute; Xe : SYM ANGEL
- Xe gi&aacute; rẻ . Xe c&ograve;n cứng, biển số dễ thương dễ nhớ . Để lại cho anh chị em về chở h&agrave;ng hoặc c&aacute;ch bạn sinh vi&ecirc;n về sửa sang đi học đi l&agrave;m.
- Giấy tờ đầy đủ, hợp ph&aacute;p, viết giấy mua b&aacute;n.
- Gi&aacute; c&ocirc;ng khai : 4tr5 ( C&oacute; thương lượng )
- Địa chỉ : 231 Nguyễn Văn Nghi, P7, G&ograve; Vấp
Nhấc m&aacute;y gọi : 0933.936.345 ( Zalo )
Cảm ơn ❤️",4500000,https://cdn.okxe.vn/products/944/1102944/1102944_1502760_review-0_20221110102926_a8trzXiE_m_400x400.jpg,Tp. Hồ Chí Minh,50,SYM Angel 110,100000,,110.0,2005,35,438,2,2,13
3,Harley Davidson Forty-Eight Special 2019,"XE MOTO PH&Acirc;N KHỐI LỚN CỰC HIẾM - Harley Davidson Forty Eight m&agrave;u trắng năm 2019, tại B&igrave;nh Thạnh, TP HCM

&bull; Xe gần như mới, bảo dưỡng to&agrave;n bộ tại h&atilde;ng, xe zin nguy&ecirc;n chiếc, si&ecirc;u lướt;
&bull; Kh&iacute; thải Vance &amp; Hines;
&bull; Bộ lọc kh&iacute; Sreming eagle;
&bull; Monkey handlebar;
&bull; Direct link + stage 1;
&bull; Ắc quy mới;
&bull; Y&ecirc;n sau v&agrave; g&aacute;c ch&acirc;n sau;
&bull; &Aacute;o tr&ugrave;m xe;
&bull; Biển số S&agrave;i G&ograve;n.

Một chiếc xe kh&ocirc;ng cần b&agrave;n c&atilde;i về độ &ldquo;HOT&rdquo;, thiết kế hầm hố, động cơ mạnh mẽ, tạo cảm x&uacute;c phấn kh&iacute;ch tr&ecirc;n từng c&uacute; vặn ga.

Anh em n&agrave;o muốn c&oacute; một chiếc xe lướt si&ecirc;u ngon để chơi th&igrave; đ&acirc;y l&agrave; một lựa chọn tuyệt vời.

Xe cực hiếm, n&ecirc;n anh/em nhanh tay li&ecirc;n hệ inbox ch&iacute;nh chủ hoặc li&ecirc;n hệ.",435000000,https://cdn.okxe.vn/products/376/1069376/1069376_1515268_6 (1)_20221031035241_6eLdHVcH_m_400x400.jpg,Tp. Hồ Chí Minh,50,Harley Davidson Forty-Eight Special,5000,,1200.0,2019,13,115,2,3,3
4,Harley Davidson Street 750 2015,"‼️ MOTOR HARLEY DAVIDSON STREET 750 CH&Iacute;NH CHỦ SANG T&Ecirc;N V&Ocirc; TƯ GI&Aacute; CỰC SHOCK CHO AE ‼️

=&gt; ODO CHUẨN CHỈ 15.000 TH&Ocirc;I, XE CHỦ YẾU DỰNG &Iacute;T ĐI, D&Agrave;N &Aacute;O C&Ograve;N KEO ZIN THEO XE, M&Aacute;Y M&Oacute;C CHUẨN CHỈ

=&gt; ĐIỆN Đ&Oacute;M FULL, Đ&Egrave;N LED ĐỘ TH&Ecirc;M V&Agrave; P&Ocirc; ĐỘ CH&Iacute;NH H&Atilde;NG, XE NỔ CỰC CHẤT

=&gt; EM N&Agrave;Y ĐI PHỐ L&Agrave; M&Aacute;T NHẤT RỒI AE, MỨC ĐỘ HAO XĂNG THEO CẢM NHẬN Đ&Atilde; CHẠY 200KM KHỎNG 21KM/1 L&Iacute;T KH&Aacute; L&Agrave; ỔN

🔇  D&Agrave;N NGO&Agrave;I CỰC HẦM HỐ TH&Iacute;CH VỚI AE CHIỀU CAO TỪ 1M60 ĐỔ L&Ecirc;N.

🔇 GI&Aacute; B&Aacute;N CHỈ C&Oacute; ‼️‼️ 178 TRIỆU ‼️‼️

🔇 XE GIẤY TỜ CHUẨN MUA B&Aacute;N TẠI CỦA H&Agrave;NG, VIẾT GIẤY MUA B&Aacute;N CỦA CỬA H&Agrave;NG ‼‼ BAO TRANH CHẤP TRỌN ĐỜI ‼️‼️

CH&Iacute;NH CHỦ K&Yacute; B&Aacute;N CHO ANH EM SANG T&Ecirc;N - C&Oacute; HỖ TRỢ R&Uacute;T HỒ SƠ GỐC CHO ANH EM LU&Ocirc;N.

ĐỊA CHỈ : TH&Aacute;I THUẬN MOTOR - 90 T&Acirc;N CH&Aacute;NH HIỆP 36 PHƯỜNG T&Acirc;N CH&Aacute;NH HIỆP QUẬN 12 

Tiktok :https://vt.tiktok.com/ZSdWAj5J7/

YOUTUBE: https://youtube.com/channel/UCEIbxNK0ymZCcpIwwDX02og",178000000,https://cdn.okxe.vn/products/79/1012079/1012079-1257667-review-0-20221015011016-tlwx8wvs_m_400x400.jpg,Tp. Hồ Chí Minh,50,Harley Davidson Street 750,5000,,750.0,2015,13,1231,2,3,3
5,Yamaha Exciter 150 2017,"- Yamaha exciter 150
- biển số th&agrave;nh phố Hồ Ch&iacute; Minh 
- đăng k&yacute; năm: 2017
- ch&iacute;nh chủ bao c&ocirc;ng chứng 
- gi&aacute;: 27.500.000₫
- xem xe tại: 673 tỉnh lộ 10- b&igrave;nh trị đ&ocirc;ng b- b&igrave;nh t&acirc;n- tphcm.",27500000,,Tp. Hồ Chí Minh,50,Yamaha Exciter 150,30000,,150.0,2017,40,535,2,2,3
6,Honda Air Blade 125 FI 2016,"- Honda ab 125 fi 
- biển số th&agrave;nh phố Hồ Ch&iacute; Minh 
- đăng k&yacute; năm: 2016
- ch&iacute;nh chủ bao c&ocirc;ng chứng 
- gi&aacute;: 29.500.000₫
- xem xe tại: 673 tỉnh lộ 10- b&igrave;nh trị đ&ocirc;ng b- b&igrave;nh t&acirc;n- tphcm.",29500000,https://cdn.okxe.vn/products/869/1195869/1195869_389086_review-0_20221205014945_diU4ZFY3_m_400x400.jpg,Tp. Hồ Chí Minh,50,Honda Air Blade 125 FI,10000,,125.0,2016,15,148,2,1,5
7,Yamaha Exciter 150 2022,"xe ch&iacute;nh chủ từ đầu , m&aacute;y m&oacute;c nguy&ecirc;n bản , giấy tờ ch&iacute;nh chủ , xe gia đ&igrave;nh đi giữ g&igrave;n l&ecirc;n sử dụng c&ograve;n rất tốt , b&aacute;n cho ai về đi lại rất y&ecirc;n t&acirc;m",28000000,https://cdn.okxe.vn/products/867/1195867/1195867_228116_5._20221205014928_EQNnwOll_m_400x400.jpg,Tp. Hà Nội,1,Yamaha Exciter 150,5000,,150.0,2022,40,535,2,2,3
8,Honda LEAD 110 2016,Nh&agrave; thừa xe kh&ocirc;ng d&ugrave;ng đến nữa muốn b&aacute;n lại chiếc xe m&aacute;y n&agrave;y cho bạn n&agrave;o c&oacute; nhu cầu mua về sử dụng. Xe t&ocirc;i đi rất giữ g&igrave;n thay dầu bảo dưỡng thường xuy&ecirc;n n&ecirc;n ai mua về y&ecirc;n t&acirc;m về chất lượng. Ch&iacute;nh chủ sử dụng từ đầu n&ecirc;n c&ograve;n rất ngon,11000000,https://cdn.okxe.vn/products/866/1195866/1195866_1867_2._20221205014906_JemFFuus_m_400x400.jpg,Tp. Hà Nội,1,Honda LEAD 110,5000,,107.0,2016,15,145,2,1,10
9,Yamaha Nozza Grande 125 2017,"- Yamaha grande fi 
- biển số th&agrave;nh phố Hồ Ch&iacute; Minh 
- đăng k&yacute; năm: 2017
- ch&iacute;nh chủ bao c&ocirc;ng chứng 
- gi&aacute;: 28.500.000₫
- xem xe tại: 673 tỉnh lộ 10- b&igrave;nh trị đ&ocirc;ng b- b&igrave;nh t&acirc;n- tphcm.",28500000,https://cdn.okxe.vn/products/865/1195865/1195865_389086_review-0_20221205014859_NqMibC0l_m_400x400.jpg,Tp. Hồ Chí Minh,50,Yamaha Nozza Grande 125,20000,,113.0,2017,40,514,2,1,3
10,Dkbike Romar  2019,"🅧🅜🅗🅝 ⭐️ 𝐂𝐇𝐀̀𝐎 𝐁𝐀́𝐍 ⭐️ 🅲Ầ🆄 🅶🅸Ấ🆈
📣
👉 𝐇𝐚̃𝐧𝐠 𝐱𝐞   : Roma Se  50 cc Mầu trắng  m&aacute;y sơn zin nguy&ecirc;n bản từng con ốc    , d&ograve;ng xe đẳng cấp thời trang chế độ t&iacute;ch kiệm nhi&ecirc;n liệu, 1 chủ Si&ecirc;u Mới , biển h&agrave; nội si&ecirc;u v&iacute;p 636.63
-Sơn m&aacute;y zin 100%
-bản qu&aacute; đẹp sang chảnh
-xe qu&aacute; l&agrave;nh chả c&oacute; g&igrave; để hỏng
-video h&igrave;nh ảnh quay trực tiếp cho kh&aacute;ch h&agrave;ng thẩm định
👉 Đ𝐚̆𝐧𝐠 𝐤𝐲́   : 2019
👉 𝐁𝐢𝐞̂̉𝐧 𝐬𝐨̂́     : 29AA-636.63 si&ecirc;u đẹp
👉 𝐎𝐝𝐨          : 10 ng&igrave;n km
👉 𝐂𝐡𝐢́𝐧𝐡 𝐜𝐡𝐮̉ : ✍🏻
👉 #𝐆𝐢𝐚́_𝐘𝐞̂𝐮_𝐓𝐡𝐮̛𝐨̛𝐧𝐠: 12t5 triệu
💳 #Trả_G&oacute;p Qua Thẻ T&iacute;n Dụng l&atilde;i suất ưu đ&atilde;i
------------------🅧🅜🅗🅝---------------
#𝐐𝐔𝐘𝐄̂̀𝐍𝐋𝐎̛̣𝐈_𝐊𝐇𝐀́𝐂𝐇𝐇𝐀̀𝐍𝐆_𝐊𝐇𝐈_𝐌𝐔𝐀𝐗𝐄
✅ Bảo h&agrave;nh động cơ v&agrave; ic&rdquo; 6Th - 1 năm &ldquo;
✅ Bảo h&agrave;nh an ninh trọn đời .
✅ Cửa h&agrave;ng c&oacute; đầy đủ dịch vụ Sang t&ecirc;n, đổi biển, cấp lại đăng k&yacute; cho kh&aacute;ch trong thời gian ngắn nhất.
✅ Mua lại xe gi&aacute; cao khi kh&aacute;ch kh&ocirc;ng c&oacute; nhu cầu sử dụng.
✅ Bảo h&agrave;nh 7 ng&agrave;y test từng lỗi nhỏ đến sửa miễn ph&iacute;.
✅ Bảo H&agrave;nh tận nơi cho kh&aacute;ch trong nội th&agrave;nh H&agrave; Nội.
✅ Kh&aacute;ch h&agrave;ng ở xa hỗ trợ vận chuyển xe 63 Tỉnh th&agrave;nh trong cả nước, thanh to&aacute;n chuyển khoản.
 ------------------🅧🅜🅗🅝---------------
 🏨 Đị🅐 🅒🅗ỉ 01: số 46 ng&otilde; 12 nguyễn văn huy&ecirc;n _ cầu giấy h&agrave; nội
🏨 Địa chỉ 02 :  40_Ng&otilde;_260 _Cầu_Giấy_HN
👩&zwj;💻 App SĐT Zalo để tư vấn nhiệt t&igrave;nh 👨&zwj;🚀 
👩&zwj;💻 Tư Vấn B&aacute;n H&agrave;ng Zalo : Full ảnh + Video( 0846363568- 0918101568)
🌐 Facebook : Xe M&aacute;y Ho&agrave;ng Nam 🔴",12500000,https://cdn.okxe.vn/products/863/1195863/1195863_846454_review-0_20221205014854_9ClC9Zim_m_400x400.jpg,Tp. Hà Nội,1,Dkbike Romar ,10000,,50.0,2019,47,680,2,4,1
