id,name,logo
1,Aprillia,https://cdn.okxe.vn/moto/logo/active/2021/Aprilia.png
2,Bajaj,https://cdn.okxe.vn/moto/logo/active/2021/Bajaj.png
3,Benelli,https://cdn.okxe.vn/moto/logo/active/2021/Benelli.png
4,BMW,https://cdn.okxe.vn/moto/logo/active/2021/BMW.png
5,Brixton,https://cdn.okxe.vn/moto/logo/active/2021/Brixtion.png
6,CPI,https://cdn.okxe.vn/moto/logo/active/2021/CPI.png
7,CR&S,https://cdn.okxe.vn/moto/logo/active/2021/CR%26S.png
8,Daelim,https://cdn.okxe.vn/moto/logo/active/2021/Daelim.png
9,Ducati,https://cdn.okxe.vn/moto/logo/active/2021/Ducati.png
10,Euro Reibel,https://cdn.okxe.vn/moto/logo/active/2021/Euro+Reibel.png
11,Generic,https://cdn.okxe.vn/moto/logo/active/2021/Generic.png
12,Halim,https://cdn.okxe.vn/moto/logo/active/2021/Halim.png
13,Harley Davidson,https://cdn.okxe.vn/moto/logo/active/2021/Harley+Davidson.png
14,Hero Honda,https://cdn.okxe.vn/moto/logo/active/2021/Hero.png
15,Honda,https://cdn.okxe.vn/moto/logo/active/2021/Honda.png
16,Hyosung,https://cdn.okxe.vn/moto/logo/active/2021/Hyosung.png
17,Kawasaki,https://cdn.okxe.vn/moto/logo/active/2021/Kawasaki.png
18,Keeway,https://cdn.okxe.vn/moto/logo/active/2021/Keeway.png
19,Kengo,https://cdn.okxe.vn/moto/logo/active/2021/Kengo.png
20,KTM,https://cdn.okxe.vn/moto/logo/active/2021/KTM.png
21,Kymco,https://cdn.okxe.vn/moto/logo/active/2021/Kymco.png
22,Lambretta,https://cdn.okxe.vn/moto/logo/active/2021/Lambretta.png
23,Malaguti,https://cdn.okxe.vn/moto/logo/active/2021/Malaguti.png
24,Mobylette,https://cdn.okxe.vn/moto/logo/active/2021/Mobylette.png
25,Moto Guzzi,https://cdn.okxe.vn/moto/logo/active/2021/Moto+Guzzi.png
26,MV Agusta,https://cdn.okxe.vn/moto/logo/active/2021/MV+Augusta.png
27,Norton,https://cdn.okxe.vn/moto/logo/active/2021/Norton.png
28,Peugeot,https://cdn.okxe.vn/moto/logo/active/2021/Peugeot.png
29,Piaggio,https://cdn.okxe.vn/moto/logo/active/2021/Piaggio.png
30,RebelUSA,https://cdn.okxe.vn/moto/logo/active/2021/RebelUSA.png
31,Regal Raptor,https://cdn.okxe.vn/moto/logo/active/2021/Regal+Raptor.png
32,Sachs,https://cdn.okxe.vn/moto/logo/active/2021/Sachs.png
33,Sanda,https://cdn.okxe.vn/moto/logo/active/2021/Sanda.png
34,Suzuki,https://cdn.okxe.vn/moto/logo/active/2021/Suzuki.png
35,SYM,https://cdn.okxe.vn/moto/logo/active/2021/SYM.png
36,Triumph,https://cdn.okxe.vn/moto/logo/active/2021/Triumph.png
37,Vento,https://cdn.okxe.vn/moto/logo/active/2021/Vento.png
38,Victory,https://cdn.okxe.vn/moto/logo/active/2021/Victory.png
39,Visitor,https://cdn.okxe.vn/moto/logo/active/2021/Visitor.png
