infoid,Vehicle_name,Odometer,License_plate,Cubic_power,Manufacture_year,ID_VehicleBrand,ID_VehicleLineup,Condition,ID_VehicleType,ID_Color
1,Yamaha Latte,10000,,125cc,202011,40,1711,used,1,10
2,SYM Angel 110,100000,,110,200504,35,438,used,2,13
3,Harley Davidson Forty-Eight Special,5000,,1200,201912,13,115,used,3,3
4,Harley Davidson Street 750,5000,,750,201503,13,1231,used,3,3
5,Suzuki GZ 150A,23000,60F2-61723,149,201712,34,414,used,2,3
6,Honda SH 150,51000,29C1-76877,153,200811,15,167,used,1,3
7,Honda SH 150,1000,89B2-02024,153,202112,15,167,used,1,3
8,Honda Air Blade 125 FI,20000,17B3-12367,125,201412,15,148,used,1,7
9,Honda Wave Alpha 100,50000,16K6-9854,97.1,200612,15,1055,used,2,15
10,Honda Future 125,91000,17B1-89606,"124,9",201211,15,198,used,2,15
11,Honda Vision NSC110,5000,,108,201912,15,135,used,1,1
12,Piaggio Liberty 125,30000,,124cc,201206,29,355,used,1,1
13,Piaggio Zip 100,20000,,96.2,201407,29,348,used,1,1
14,Honda Winner X 150,20000,,150,202106,15,1076,used,2,3
15,Honda Future 125,5000,,"124,9",201912,15,198,used,2,7
16,Piaggio Liberty 125,30000,,124cc,201106,29,355,used,1,3
17,Honda Vision 110,5000,,108,201412,15,135,used,1,7
18,Honda Air Blade 110 FI,30000,,108,201006,15,148,used,1,1
19,Honda Air Blade 110 FI,5000,,108,201112,15,148,used,1,3
20,Honda Air Blade 110 FI,30000,,108,201205,15,148,used,1,5
21,Honda Air Blade 125 FI,5000,,125,201812,15,148,used,1,3
22,Honda Winner 150,5000,,149,201812,15,180,used,2,10
23,Honda Vision 110,5000,,108,201412,15,135,used,1,2
24,Yamaha Exciter 150,5000,,149.7,201812,40,535,used,2,13
25,Yamaha Exciter 150,5000,,149.7,201712,40,535,used,2,15
26,Piaggio Liberty 125,30000,,124cc,201111,29,355,used,1,1
27,Honda Vision 110,20000,,108,201611,15,135,used,1,10
28,Yamaha Exciter 150,5000,,149.7,201712,40,535,used,2,15
29,Honda Air Blade 110 FI,30000,,108,201111,15,148,used,1,10
30,Yamaha Exciter 150,5000,,149.7,201712,40,535,used,2,5
31,Yamaha Exciter 150,5000,,149.7,201812,40,535,used,2,3
