id,name,brand_id
1,Caponord,1
3,SR Motard,1
5,RSV4,1
6,Tuono V4,1
1159,Dorsoduro,1
1163,S4,1
1164,Shiver,1
1166,Tuono,1
9,Avenger,2
1170,Pulsar,2
1171,Adventure,2
10,Pepe,3
11,BN,3
12,Caffe Nero,3
13,T,3
14,VLM,3
15,TNT,3
16,TRK,3
17,Leoncino,3
18,R,3
19,Benelli Tornado,3
1219,Tornado Tre ,3
1220,Tornado,3
1221,Turismo,3
20,C1,4
21,C400,4
22,Sports Enduro,4
23,Concept,4
24,C600,4
25,C650,4
26,F650,4
27,F700,4
28,F800,4
29,F750,4
30,Concept,4
1048,S1000,4
1174,K1600,4
1178,R1250,4
1180,F900,4
1181,G310,4
1184,Sports Enduro,4
1185,Funduro,4
1186,F650GS,4
1187,F650GS,4
31,BX,5
32,Glanville,5
33,Saxby,5
1201,Classic,5
1203,Scrambler,5
1205,Cafe Racer,5
1206,Comwell,5
1208,Sunray,5
1209,Rayburn,5
1210,Crossfire,5
1213,SK8,5
1215,Felsberg,5
34,Hussar,6
35,Popcorn,6
36,GTR,6
37,SM,6
38,SMX,6
39,Supercross,6
40,Supermoto,6
41,SX,6
42,Aragon,6
43,Bravo,6
44,Formula,6
45,Oliver City,6
46,Oliver Sport,6
47,Vogue,6
48,XR,6
49,VGO,6
50,X-Large,6
1218,ATV,6
51,VUN,7
52,E-Five,8
53,A-Four,8
54,Bonita,8
55,Cordi,8
56,S-Five,8
57,Beagle,8
58,Cub,8
59,S4,8
60,S5,8
61,CiTi Ace,8
62,RoadWin,8
63,B-Bone,8
64,Besbi,8
65,Altino,8
66,Daystar,8
68,RoadSport,8
69,S3,8
70,Aroma,8
71,Dart,8
72,S1,8
73,Steezer,8
74,Delfino,8
75,Freewing,8
76,History,8
77,Otello,8
78,S2,8
79,NS,8
80,S-One,8
1047,VS,8
1222,VJF,8
1223,VL,8
1224,VC,8
1635,Kea,8
1669,Wave,8
81,Diavel,9
82,Multistrada,9
83,Panigale,9
84,Scrambler,9
85,Hypermotard,9
86,Monster,9
87,SuperSport,9
88,XDiavel,9
1075,Mini,9
1589,StreetFighter,9
1590,E-MTB,9
1712,City Hunter 110cc,9
89,150,10
1225,350,10
90,Onyx,11
91,Toxic,11
92,Cracker,11
93,Epico,11
94,Jump,11
95,Race 2,11
96,ROC,11
97,Sirion,11
98,Vendetta,11
99,Vertigo,11
100,Mini Trigger,11
101,Trigger,11
102,Ideo,11
103,Racy XOR,11
104,XOR,11
105,Code,11
107,Inox,11
108,Worx,11
109,Soho,11
110,Zion,11
111,TR,11
1226,Urano,11
1227,Stream,11
112,Cub,12
1119,Sirius,12
1229,Wave,12
113,Sportster,13
114,Forty-Eight,13
115,Forty-Eight,13
116,Dyna,13
117,V-Rod,13
119,Super Glide,13
122,Fat Bob,13
125,Trike,13
126,Road Glide,13
127,Street Glide,13
128,Road King,13
1230,Street,13
1231,Street,13
1239,Softail,13
1240,V-Rod,13
1242,Touring,13
1249,CVO,13
1677,Iron,13
129,Hunk,14
130,1967,15
131,CD,15
132,Dream,15
133,Super Cub,15
134,Crea,15
135,Vision,15
136,Sport Cup,15
137,Chaly,15
138,Julio,15
139,DD,15
141,CB,15
142,Win,15
143,Spacy,15
144,SCV Lead,15
145,LEAD,15
146,NHX110 Lead,15
147,Cross Cub,15
148,Air Blade,15
149,Scoopy,15
150,Super Dream,15
151,Avitor,15
152,Astrea,15
153,Blade,15
154,Zoomer,15
155,SCR,15
156,PS,15
157,TM Racing,15
158,Nova Dash,15
159,Hartford My Dream,15
160,CA,15
161,CG,15
162,Pantheon,15
163,Click,15
165,MSX,15
166,PCX,15
167,SH,15
168,CBR,15
169,CM,15
170,GL Max,15
171,GL Pro,15
172,Master,15
173,Nova,15
174,Shadow,15
175,@ (A Còng),15
176,Dylan,15
177,Joying,15
178,Vario,15
179,Keeway Dream,15
180,Winner,15
181,Rebel,15
182,CMX,15
184,Freeway,15
185,CH,15
186,Shadow Custom 400,15
187,Steed,15
188,CX,15
191,750 Shadow,15
192,VF,15
193,CBF,15
194,VT,15
195,Shadow ACE,15
196,F6C Valkyrie,15
197,Covingtons,15
198,Future,15
199,M8,15
200,A6,15
201,A7,15
202,A8,15
203,M6,15
204,A6,15
